,MAQCA,MAQCB
ENSG00000060688,20.14,22.1
ENSG00000060709,28.01,22.45
ENSG00000060718,27.47,25.61
ENSG00000060749,20.03,22.29
ENSG00000060762,20.89,19.68
ENSG00000060971,21.8,21.66
ENSG00000060982,19.9,22.89
ENSG00000061337,23.17,22.98
ENSG00000061455,26.8,26.09
ENSG00000061492,33.74,32.72
ENSG00000061656,21.07,25.13
ENSG00000061676,19.03,18.43
ENSG00000061794,20.14,21.18
ENSG00000061918,25.28,20.32
ENSG00000061936,21.08,21.88
ENSG00000061987,21.46,21.41
ENSG00000062038,24.23,25.8
ENSG00000062096,34.27,26.4
ENSG00000062194,19.78,19.55
ENSG00000062282,23.17,23.89
ENSG00000062485,20.07,22.06
ENSG00000062524,30.13,33.5
ENSG00000062598,21.93,21.12
ENSG00000062650,20.73,21.9
ENSG00000062716,18.21,21.02
ENSG00000062725,21.2,21.44
ENSG00000062822,21.25,25.48
ENSG00000063015,25.4,21.09
ENSG00000063046,17.3,18.36
ENSG00000063127,30.18,43.19
ENSG00000063169,23.79,23.17
ENSG00000063176,24.19,22.82
ENSG00000063177,22.3,24.88
ENSG00000063180,24.51,19.66
